brian taylor |  LOV
a woman who votes for the good of the country and it s citizens instead of her party  one of the few gop that can be respected  |  LOV
profits before lives  |  ANG
yet she is nt qualified to be our president lol |  LOV
have all the fun    |  LOV
omg it s so great 😂😂😂 |  LOV
i loved tangerine  |  LOV
why is it considered a tax break  you are being doubled taxed if you pay taxes on state and local taxes   i thought you were not supposed to be double taxed  |  ANG
linda webb  this is so sweet |  LOV
fu chump  |  ANG
thank you |  LOV
i ca nt even stand it anymore walt  all so unbelievable  |  ANG
mr trump might want to check out the five freedoms of the 1st amendment of the constitution  |  ANG
chris rentz |  LOV
ought you would like these  |  LOV
donna sullivan everage |  LOV
wonderful |  LOV
  sticker   |  ANG
understood  it s a bigger problem than one child can represent  but we should see what she can do since she has the attention of much of the world now  if she is a puppet  it will shoe |  LOV
bettina zenke  |  LOV
complete moronso scary |  ANG
kacie maloney |  LOV
😳 |  ANG
pay no attention to the man behind the curtain  |  ANG
love  wirehammers   |  LOV
glad to hear there will be a centrist gopsenator around  we need more  |  LOV
💙 |  LOV
 |  LOV
jonathan easterling  jerrie easterling  david easterling  karen easterling  jen easterling fuller |  LOV
shame  |  ANG
yeah no abortions but lets nuc the dirty nk s   gop bible  |  ANG
hector torres |  LOV
hands off birth control and wade vs roe  |  ANG
wow  we’re on a roll braidee hicks lol |  LOV
i m looking forward to seeing this and learning more about mr marshall  |  LOV
gordon |  LOV
huh  |  ANG
i do nt live in maine  but i like her  she is gutsy  real  |  LOV
one of the few sane republicans |  LOV
thank you  susan  we need you there  |  LOV
we love wegman    of course  our dogs would never stand for wearing clothes 😂😂😂 |  LOV
is good is alright |  ANG
birth control lessens needs for abortion  |  ANG
i caught this delightful interview  thanks for the spirit lifter  |  LOV
so when will this go into effect  |  ANG
can yağız |  LOV
hopefully a democraticindependent sweep will change that and get some sanity restored  |  ANG
without that deduction  many in the middle class will see higher tax bills  not lower  |  ANG
spectacular  |  LOV
“great  👍👍👍 |  LOV
so beautiful  thank you both for sharing  |  LOV
ooooooo  |  LOV
liar in chief |  ANG
the turtle and the crested cocketeil reminds again  |  ANG
these segments are really great  thanks pbs  |  LOV
just love this duo    |  LOV
falsehoods |  ANG
   for 36 years   since 1981   we have seen the working middle class deteriorate in america  due to reagan era trickledown economics  and shipping america s manufacturing to foreign countries   do nt forget that the usa is borrowing     to pay the tax deficit due to the wealthy billionaires   nearbillionaires  who are not paying their fair share of income taxes  this is responsible for much of our current national deficit created by these parasites   do nt believe for one minute that the billionaires   nearbillionaires  want to make life better for the working middle class in mainstream america   remember  they are the ones who have shipped america s manufacturing to china  india  etal   furthermore   have you received your reagan era trickledown  money yet     well  do nt go runnin  to the mailbox lookin  for your check         |  ANG
john  thought of you when i saw this  |  LOV
angela |  LOV
i’ll be glad when i don’t have to see that orange face or here that jerks voice any more |  ANG
this series is wonderful  |  LOV
go trump  all they are is sitting ducks  pluck off the ones that do nt fit straight  |  ANG
exactly  govt is nt the place to get rich  |  ANG
1 rand paul  |  ANG
beautiful  |  LOV
please stop the hate    this is divisive    trump is not the problem  |  ANG
i love mr wegmans work  |  LOV
trump is making america suck again  |  ANG
sarah whitt salley |  LOV
matthew ellington  audrey rose  daniel ellington movie time🍿📽 |  LOV
writing should make people think  i applaud his ability to do just that  |  LOV
can’t wait to see it  |  LOV
maria blondet |  LOV
idiot |  ANG
dominick joseph maggiore |  LOV
idiot in chief 💯 |  ANG
hey trump  look down  your pens are on fire  |  ANG
blithering idiot  |  ANG
we need her in congress  |  LOV
suck up time |  ANG
business as usual  |  ANG
so corrupt in america |  ANG
delightful bit of news  |  LOV
absolutely amazing  thank you  pbs  for finding and sharing this lovely story  |  LOV
 specific fault   just one  agreement was made by obama  |  ANG
idiot |  ANG
👏🏼💪🏼👏🏼💪🏼👏🏼 |  LOV
john kraut |  LOV
made me smile  thanks again  pbs  |  LOV
catherine   |  LOV
so touching  inspiring |  LOV
bonnie |  LOV
jerk |  ANG
gopdeath cult |  ANG
luke thorburn |  LOV
stop telling other people how to live their lives  worry more about your own life and let god take care of the rest  |  ANG
what do you think pbs  |  ANG
your an idiot |  ANG
incompetent |  ANG
not drug distributers but republicans in congress  |  ANG
but they make too much money   |  ANG
president of the virgin islans    wtf  |  ANG
abortion is probably being done as a medical necessity  i doubt it is done for birth control |  ANG
thank you for sharing  brightened my day  |  LOV
beautiful  |  LOV
it’s not trumps fault  it’s muller not getting his act together |  ANG
everyone pays for everyone elses medical care  one way or another  |  ANG
sam  drew meller    |  LOV
call em drug dealers |  ANG
mary mcnutt |  LOV
mae taylor |  ANG
one of those faults is that he and his family ca nt make any money from it  |  ANG
clearly mr trump values setting the richest 1  even further apart from the rest of us  |  ANG
cool  i would love to replace our lawn with a florida certified landscape  |  LOV
  vlquxuq6zd9w |  ANG
aldo needs to be a feature in these |  LOV
another uva alumni achievement  wish we could learn how to use some of these ideas on a smaller scale  |  LOV
actually have a book of his😆 |  LOV
he s a lying idiot  not my president   |  ANG
go trump  |  ANG
i was thinking about her this morning  |  LOV
i hope he has a heart attack and dies today  he s useless  his supporters are idiots  |  ANG
stop this idiot                 |  ANG
douglas thomas      |  ANG
have always liked his work  |  LOV
❤️  |  LOV
jealous man |  ANG
very wrong move |  ANG
i love the dogs  his babypuppy book is my favorite  universal cuteness and love |  LOV
after 2018  she will be just another one of the 60 republican senators plus the vp  that will give republicans in the senate  power of cloture  they are only 8 seats away now  there are 25 democratic held seats up for reelection  half of those are in trump won red states  republicans will more than likely pick up 810 seats  when that happens  senate democrats will be locked out of all discussion and votes  where they will lose every time  because they will have 40 seats or less  that makes susan collins positions in the senate almost meaningless  trump will get 3 more sc nominations before 2020 democrats will not be able to stop a single one  that will tilt the court 81 right  for the next 2530 years  |  LOV
who  |  LOV
only serving himself  |  ANG
it all depends on who gets the money  |  ANG
the feature on him on pbs news tonight was great  |  LOV
ok count me in |  LOV
michael andreas |  LOV
god bless  |  LOV
we need her in the senate  |  LOV
interesting interview  thank you  |  ANG
how do they feel about viagra  these old dudes are not using it to procreate so no coverage for them  hypocrites  |  ANG
good  europe can take all these  refugees   more power to them  |  LOV
get him out  get him out  get him out  |  ANG
😍 |  LOV
impeach this moron  |  ANG
less access to birth control  more abortions  how is it these people ca nt do the math  |  ANG
if you pay property taxes and itemize you will likely have a tax increase with this tax cuts for businesses |  ANG
aldo  |  LOV
corruption |  ANG
not impressed  at all  |  LOV
she is beyond brave  leep up your work  |  LOV
what a jerk  |  ANG
wonderful  |  LOV
sue |  ANG
get out trump  we do nt want you  |  ANG
yes  she s one of 7 remaining  |  LOV
laura michael |  LOV
jimmy crack korn and don do nt care   |  ANG
kate finnerty |  LOV
impeach |  ANG
who the heck would vote for either one of these idiots |  ANG
in roman empire saint paul never spoke about abortion or try to stop it  |  ANG
puke   |  LOV
eliminating alternative minimum tax and estate tax will save rich people  like  45 and family  millions if not billions  when  45 says he does not benefit from his tax proposal  he is lying  bigly  |  ANG
term limits  0 |  LOV
yuk |  ANG
margaret murnane  melissa severson |  LOV
clearly the people who are demonstrating now do not need it  but should they   then what  |  ANG
who is he     |  LOV
  sticker   |  ANG
barbara |  LOV
deplorobles winning    |  ANG
lol  the friendly nazikkkrussian fetish party member  |  LOV
this one was amazing steve goldbloom  |  LOV
melanie carder remember these  |  LOV
😎      |  ANG
thank you sen collins  |  LOV
erin frazel |  LOV
when was the last time that you preached to men on facebook to abstain from sex or to use condoms every time  no  when was the last time you had a uterus  never  maybe you should just 🤐 |  ANG
love his humor  |  LOV
i look forward and enjoy all the brief but spectaculars     thank you  |  LOV
remember becky and her weimaraner max  |  LOV
she stinks |  LOV
 lfacebookcomlphp   3a  2f   2farticle  2f432172  2ftrumpreportedlythrewfitadvisedcertifyiranscompliancenucleardeal  hatpowhgipxtmiiojnkxhhq4fb0jqy4hij7y3wdk0kbepqbahb2kzfbj0lvb912urnkeqcmgui6fsatoxidte4jyt20ojulcm51ygy1nt2gfkqtvuqjjenrfa8prvzizmrzwf5w8izfniflie3whkgfcdgpyhe68z4ihlprcyvz0rt7xa3vi2ul0fcdpxwpwulgznprpdkvtopd2heqqb0antw5avdqc4bdfgyrnkhefbmlcegxwanyks2whg4cvsyrvckawv6bgyhi1pxstnlgk6wrxj3yywvxtbw |  ANG
sophia smith |  LOV
many are concerned about the west s involvement in endless and unending foreign wars  it is difficult to get our politcians to give straight answers about this problem  trump campaigned saying he would end the usa s involvement in these wars  and now he is sending more troops to afghanistan   |  LOV
values my butt |  ANG
but why though  🤔 💰💰💰 |  ANG
like em   |  LOV
being antiabortion is being a hostage taker of the worst kind  one who uses all the weight of stockholm syndrome  |  ANG
obama did the leg work morons |  ANG
just thinning out the stupid and the lazy |  ANG
towering justice  no  he was an excellent advocate for civil rights and that was his main contribution   as a lawyer  as a justice  his contribution was far more limited  he should have remained where he was at his best  as a lawyer for civil rights  |  LOV
 separationofchurchandstate business operates in the public sector  there s no right to impose beliefs or morals on others such as the general public or on employees  |  ANG
oh did nt you mean to say rex shillerson  |  ANG
david |  LOV
wasn’t that a nice piece  we watch pbs news every day  |  LOV
listen to trump not all that swap scum |  ANG
another well thought out plan  🤡 |  ANG
oh dear now he’s sedated  his handlers needed to calm down the proud pussygrabber  |  ANG
one of the only sane gop members in congress  stay  |  LOV
great comeback  |  LOV
i know u love dem |  LOV
senator and  in your face  corruption go together  a fix and small number of senators by region  rich or poor  big or small  is the perfect recipe for corrupting democracy  |  LOV
how can he  aca is the law  is nt it  |  ANG
deplorable and disgusting  |  ANG
wonderful family  |  LOV
he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
and more time away from fleecing employers  |  ANG
to bankrupt america  |  ANG
won’t happen thankfully 😅 |  ANG
 |  ANG
who are the people clapping  |  ANG
her ignorance on issues should scare everyone  |  LOV
very nice and funny   |  LOV
without comment      |  ANG
trumpcare is diseased  |  ANG
he did  |  LOV
it s not a  loophole   it was explicitly written as a catch all phrase  |  ANG
lest we forget    |  LOV
good work trump  love trump      |  ANG
gitta joschonek remember savannah  |  LOV
how are denominating the sales incentives of the life sciences ceos  |  ANG
that s associate justice marshall  |  LOV
next |  LOV
whole plan is bs  kill the plan  |  ANG
helen vivi stavropoulos cloutier |  LOV
katie canavan smithson  an article you might be interested in  |  LOV
 45 his whole campaign and time in wh is built on fear  hate  anger and division  i feel he is unfit to hold the responsibility of us president  i think he s dangerous  |  ANG
let s see your tax returns  donald  |  ANG
1789 |  ANG
what a wonderful man  |  LOV
he is the enemy of the american people  |  ANG
love him  love the doggies  |  LOV
yup emonem lost his mind we all heard |  LOV
dotard |  ANG
doomed  as this country is becoming  |  ANG
thank you  |  LOV
monster  |  ANG
brilliant work  |  LOV
thank god  we need more sane voices like hers in congress  wouldlove to see her run for president  |  LOV
newfound admiration  |  LOV
can 45 |  ANG
pbs get a spine before it s too late  trump tax plan is a farce  lie and unamerican  stand up for gods sake  poor gwen turning in her grave  speak up pbs  call out this liar  |  ANG
thank you  as an art history student  i find this tacky  |  LOV
60 minutes aired this powerful eye opening segment sunday evening  exdea agent  opioid crisis fueled by drug industry and congress   video   exdea agent  opioid crisis fueled by drug industry and congress   text   dea responds to explosive  60 minutes  report about opioid crisis   the drug enforcement administration’s attempts to curb the opioid epidemic as deaths increased were thwarted by powerful forces in washington  according to a joint report by “60 minutes” and the washington post   meet the dea whistleblower   drug distributors fall ahead of ‘60 minutes’ report on opioid crisis   cmpidyhooheadline  yptryahoo   share   |  ANG
ya know what stops the need for abortion  birth control  |  ANG
we are cattle  |  ANG
linda henry |  LOV
a beautiful segment  |  LOV
20 years is enough no matter what party you vote for  |  LOV
can not change laws  only congress  |  ANG
hey clueless   meet joke  |  ANG
what can i say  i was a deprived child |  LOV
pathetic      |  ANG
trash |  LOV
i abhor  hate  and despise you  trump  you are dumber than a bag of nails  |  ANG
thank you mr president trump for doing the right thing  free markets is what we need  |  ANG
not hatred lynn d hall  common sense and sensibility  |  ANG
good explanation  |  ANG
he loves delivering words that he knows people will hate  gives him a sick  perverted pleasure  |  ANG
creepy  sorry |  LOV
kat vivaldi |  LOV
all out of jealousy of obama  |  ANG
prolifers are domestic terrorists  |  ANG
informative and enlightening  |  LOV
wait and see  the middle class and poor will get the short end of this too  |  ANG
i saw his exhibit “funney strange” at the brooklyn museum awhile back  loved it  |  LOV
i heard it  it s nonproductive crap  |  LOV
hes one of my favorite graphers   |  LOV
 mfacebookcomstoryphp  storyfbid10155841699504540  id1629925673968109 |  ANG
this would kill nys  |  ANG
flunky idiot |  ANG
despicable lunatic |  ANG
melissa snyderlasecla |  LOV
 legalized bigotry always more popular than illegal bigotry   freedom from religion very very important  |  ANG
my religion forbids abortion so if i get pregnant  i will never have one  i also believe that you have your own intelligence and beliefs  so i will leave your choice to you |  ANG
kaitlyn mendoza 😂😍 |  LOV
thats awesome   |  LOV
he  trump   makes me ill  |  ANG
lying puke  |  ANG
100000 is not necessarily  high income  sure would be nice to make 100k in buford wy  but see how far that goes when you live nyc  i generally love pbs reporting  but it would have been better to address the complexity of america and how hard it is to make a uniformly fair tax code for everyone when there is such disparity in economic realities  not just the  being deposited into your account each pay period  but also how much it costs to live in different places  |  ANG
you evil  hateful  vengeful old fool  |  ANG
trump  trump  trump  |  ANG
naomi |  LOV
|  ANG
bernie sanders supports the genocide of the handicapped people  |  ANG
then can we talk about 45s troubling activities  |  ANG
reap what you sow 😞 |  ANG
another corrupt pa politician  |  ANG
children and animals |  LOV
joseph gushue |  LOV
