you sound like drumpf  raven capps crowl |  SAD
how can the smile |  ANG
this guy should be jailed  i do nto trust this person  |  SAD
i trust the war he plans to activate does nt inhibit mueller s investigation  |  ANG
values my butt |  ANG
pbs newshour there is a huge side of this story that is not being covered  due to this opioid crisis  patients in hospitals with acute  not chronic  pain are not getting the pain management they need  i have a chronic condition that required major pelvic and abdominal surgery 6 weeks ago and was weaned off narcotics within 48 hours and sent home with nothing more than tylenol and ibuprofen  which damages my stomach   i ve never had issues with opioid addiction and have been prescribed narcotics in the past after surgery  but now i find myself without an important tool in my postop recovery  thankfully  the worst is behind me but i would nt wish the pain from those first couple weeks on anybody  going through support groups and anecdotes online  this story is becoming very common  could you please look into it  thanks  keep up the great work  |  SAD
nobody praises trump like trump |  ANG
if trump is such a thoughtful person  according to mr kelly  why do his public comments  tweets  appearances  etc  not show that  |  ANG
you evil  hateful  vengeful old fool  |  ANG
he s waiting for putin to make up his mind  |  ANG
it would nt surprise me if i democrat started these fires to them point the finger at trump  it s been the par for the course for democrats |  SAD
not even worth responding  who s the troll here  |  SAD
my god what an idiot |  ANG
that makes trump the false profit  |  SAD
welcome to fox news and your current president  |  ANG
wonder why harvey  corkey went their separate ways  |  ANG
laurie   cause  not blame   |  SAD
santa rosa resident here  we’re a community that prioritizes the environment and has never experienced a wildfire like this before  this is not a normal fire for the state  nor is it normal for the area  what should have been automatic was a warning system  but that didn’t happen  people fled their homes only after neighbors pounded on the door or friends called to check on them  which woke them up  |  SAD
i’m beyond disgusted with that pig  |  ANG
more friendly muslims |  SAD
this is america religious beliefs and moral convictions do nt apply to everyone  🙂 |  ANG
janice blodgett i am not cheering the burning of california  you like to lie to vilify others  |  SAD
i do nt hate anyone  i just do nt give a fuk about socialist states and the residents of them  when they burn up in a fire  when wealthy white privileged people die  because they built their homes where they should nt have  its their own fault  |  SAD
has dotard even tweeted about this or is he that oblivious  |  SAD
ann lane who sends you to these homeless children  who do you work for  why aren’t these children reported to the authorities  you could be violating the law by not reporting them  i think you are lying  |  SAD
absent father  as usual |  SAD
god bless these fire fighters  people  places  |  SAD
and the elimination of the estate tax actually increases income taxes  and the burden of compliance  for everyone  |  ANG
what s the dispute   life is a right |  ANG
   |  ANG
 specific fault   just one  agreement was made by obama  |  ANG
trump is having the worst luck xd |  SAD
patti cullen i’ve been a little wary of mentioning this but the times i have  i find i’m not the only one wondering  |  SAD
hey pro life jackasses mind your own business |  ANG
those words are timeless  |  SAD
after elbow surgery  i was so afraid of getting addicted that i did nt even get this prescription filled       |  SAD
fool  what is behind global warming    is it not the greed  incompetance and negligence of mankind  are not such self destructive behaviors influenced by evil forces unseen by animals  especially the talking variety    |  SAD
indict impeach |  ANG
pretty sure there were natural disasters and evil in the early to mid 1940s  including earthquakes in america in at least nh  alaska  and pr  hurricanes in america in at least la  new england  south carolina  blizzard in a midwest in 1940 that killed 200  tsunami in hawaii in 1946  these are just the few i found in a two minute google search    and the evil of the japanese empire on asia and the germans in europe and russia needs not be explained  it is not the end of times  it is the same stuff that humans have done for a long time  and we do nt seem to learn  |  SAD
praying that the missing people got out of harms way  |  SAD
karma |  SAD
after watching the pbs special on pruitt  it is very clear that he is owned by big business and cares nothing about the environment  this man is a clear danger to america and the world  |  ANG
whatever the cause  s   this is a tragedy  with lives and homes and livelihoods and natural surroundings lost  has anyone heard from the monster in the white house  |  SAD
my state  i m hiding  |  ANG
dexter  parroting the dumbest fox talking points and the idiotic “if someone has it worse  you can’t complain about anything  ever” only shows you’re a simpleton  dunce  |  SAD
god s way of thinning the herd |  SAD
idiot |  ANG
amy lombardi psychos like you deserve it   resistyourstupidass |  SAD
80   of benefits go to the top 1   bad plan |  ANG
politicians are all crooks period  |  ANG
you are more optimistic than i we re stuck with him or we ll be at war or dying from pre existing conditions  |  SAD
hey clueless   meet joke  |  ANG
|  ANG
thanks for the update r u back at your tental  |  SAD
people  nobody has to have an abortion  |  ANG
the power of pharmacy is horrific  some how a plant based |  SAD
a terrorist is a terrorist they don’t discriminate who they kill as long as they kill |  SAD
45  contained is a massive improvement  i still do nt understand why  when this kind of event occurs annually at this time of year  the are not sophisticated preventative measures in place  understood that wind will be a factor  not understood why in august we send in the troops to do everything to prevent this destruction  noted that grasses were cut  we were there last weekend and into monday   but were power lines checked  zero percent containment seemed to go on too long  welcome insights and education on this  |  SAD
throw the dogs a bone |  ANG
mind boggling  this move will actually cost the government more money  |  ANG
flunky idiot |  ANG
stephanie green gawd  take chill pill  been watching too much cnn  |  ANG
patrick green brighter than you for sure i ve been to somalia and 185 other countries as ceo of multi billion company and then professor in retirement  how about your own brightness  dropped out of primary school did you  |  SAD
sad sooo sad |  SAD
more tweets  trump doesnt tweet enuf |  ANG
sara lynn goodin |  SAD
corruption |  ANG
only 4 years  really  |  SAD
then it s time to kill the elite |  SAD
pbs  pedophilia betterment society |  ANG
agreed  i m always wondering why this so called cleansing of an ethnic muslim minority draws so much attention when the general ongoing persecution of muslims elsewhere on the planet never causes a whimper  |  SAD
robert bonham uh no  just a basher of haters like kenneth  but you are right trump is a tool  |  SAD
get used to and over with it  we made climate change very fast  the drill should now become automatic  boring  |  SAD
  sticker   |  SAD
this person answers questions   |  ANG
creepy  |  SAD
stop rolling boogers between index finger and thumb  it distracts from your brilliance  |  ANG
you ca nt sway idiots  |  ANG
well he own it now think god i dont have either |  ANG
well im allergic to food  it all turns to fat |  SAD
tell trump to go to hell for me  |  ANG
they should do what they re doing and leave  it obvious muslims are not welcome in burma  |  SAD
trumpcare |  ANG
my heart goes out to the people of sonoma county  i visited on a bike tour and loved the scenery and the genuine  friendly people  |  SAD
what are you talking about  |  SAD
the facebook  sad  emojii does nt even come close  |  SAD
climate change |  SAD
the administration is so buffoonish  chief of staff holding a wh press briefing  sigh  |  ANG
crystal moran pbs posts pictures of children to appeal to people s humanity and guilt  this is done to sway people to their political ideology  it is done constantly and shamelessly  |  SAD
you will never stop abortion  just reduce it s safety towards desperate women  |  ANG
yeah souls are the issue  please enlighten us as to where in the world people are not using drugs or alcohol as a means of escape  sad yes  but hardly an issue involving a lack of soul    sticker   |  SAD
    |  SAD
having seen the devastation to homes in the black forest fire there is very little to return to  these poor folks will be starting from scratch and it will be very difficult for them  |  SAD
bump trump     |  ANG
new jersey  |  ANG
welfare for the rich  as usual      |  ANG
shameful |  SAD
we have the green technology to power all the worlds energy needs for free  1st video on my page  including putting out fires  |  SAD
why do we attack and protect and then attack then take in all the peeps that we ve attacked  |  ANG
he told them  we are with you in this  in his usual unfeeling voice  |  SAD
everyone pays for everyone elses medical care  one way or another  |  ANG
you do realize this is much further inland  right  you also realize you re an idiot  right  |  SAD
15 deaths  it s horroble to think about |  SAD
 newsunspurdueedux2009a090216tweinsteinsomaliahtml |  SAD
this one finds it closer to even  ca gets 99 cents from the feds for every dollar it sends in  no matter how you look at it less than most other states    amphtml |  SAD
trees still green |  SAD
tweetie needs to shut up  he lies       |  ANG
life is pain  get busy living  or get busy dying  |  SAD
people who are only capable of personal insults lack intelligence  people who post replies and then hide them from me so i cant clap back are cowards  |  SAD
not that this should matter when it comes to individuals  worthiness  for disaster aid  people have died and lost their homes  just like in florida and in texas  we are still one country and the fact we can have differences in opinion but still come together when it s needed is part of what makes this country great  |  SAD
and how many christians have been killed by other christians throughout history  plenty of blood on our hands  too  |  SAD
get him out  get him out  get him out  |  ANG
follow the money  |  ANG
too afraid he ll get some california on him  |  SAD
there s only one problem with drugs  they wear off lol |  ANG
the government |  SAD
america  quit whining about yur president       |  SAD
🔎 yes — our nancy drew antennae are spoton  🔍 |  SAD
  sticker   |  SAD
rosemary herger learn facts before your heart bleeds all over the bums |  SAD
how about nazi germany which was 99  christian  |  SAD
 eminem |  ANG
may i copy and paste this on my page  |  SAD
  sticker   |  ANG
yall have no right to my body  no one tells me what to do  |  ANG
death    |  ANG
proverbs 239 im done with you ishmalite   the order of dragon  is coming for your kind  next    |  SAD
no no no |  ANG
no  this ca nt be solved here  but this medium does provide deeper awareness and may reach some one who can possibly do something to make a peaceful change  no human deserves this treatment      |  SAD
sleeper cells |  SAD
who is to be blamed but the crooked doctors who prescribed it to their patients without any adequate judgement just not to lose them in their lists  |  SAD
there are plenty more  turn the rocks over  😂 |  ANG
trump has no soul  |  ANG
hopefully a democraticindependent sweep will change that and get some sanity restored  |  ANG
what an enlightening but disturbing 60 minutes segment that was  |  ANG
rexxon is right he is a big mo  |  ANG
thank you pbs for that information  |  ANG
this story is very fishy  |  SAD
i remember under pataki he let long island burn for a month  nature is tough sometimes  some brace men and women  |  SAD
annie johnson danielle connell |  SAD
may be more should be done to protect against these fires  homes should not be surrounded by large amounts of trees and bushes  but should cut them down and replace with gravel or paved areas  the japanese type gardens would provide more protection  metal roofs would be less flammable  when a forest fire starts why do nt they immediately send in b52s to drop water on the area before the fire gets out of control  i have always wondered that  |  SAD
latest report suspects in china are also responsible for supplying opioids and ingredients to make it  |  SAD
 |  ANG
it s all controlled by the rich constituents the poor mean nothing because they ca nt line politicians pockets like the rich can |  ANG
    |  SAD
one of those faults is that he and his family ca nt make any money from it  |  ANG
peter your factual data proof is  |  SAD
the continuation of man inhumanity to man in an evil world  |  SAD
he s like uhh duh uhh duh 💩🙊 |  ANG
trouble  |  ANG
so gross  this is a nightmare  |  ANG
mr trump resign please |  ANG
greed |  ANG
just sayin       |  SAD
more fake newsgood job pbs  |  ANG
james a clark perhaps you should watch the movie and see if your burning curiosity will be sated  |  SAD
a man from bangladesh sent me a friend request  out of curiosity i accepted  basically  he was crying out for help from america  i seen videos of horrible horrible things  children tied to wooden stakes being brutally whipped  beheaded  tied to a tire and thrown in fire  absolutely gut wrenching  why are we letting this go on  my god  please help them all  |  SAD
take the corporations out of government |  ANG
karen joy roth profit probably is an accurate term  as opposed to prophet  with regard to trump  |  SAD
stop men for causing them to have an abortion  they are as much responsible as the woman  |  ANG
i snorted two marihuana  now i m serving 4 back to back life sentences in adx florence for jaywalking while  stone  not wurth it kids |  SAD
rent as many buses and supply trucks and get all people at risk out and build a beautiful dorms clean running water hot and cold |  SAD
i say this again and again as this attitude fixes a lot of problems  a job interview is just as much about you interviewing them  as them interviewing you   more  by some considerations  as for whom you work makes a huge difference in your life  but to them you re just one prospective employee  do nt be sold  do nt feel obligated to follow through on tricky interview scenarios  do nt let them make you feel like you re begging at your door to be let in like you re there to see the wizard of oz or something  |  SAD
why is there a picture of pot when your talking about opioids  |  SAD
break my heart no words    so sad 👎😢 |  SAD
well after the october 2007 witch creek fires 🔥 sdg  e was found liable for failure to maintain and inspect their power lines  it s plausible |  SAD
why would you take your wife and kids to a dangerous country  you knew what could happen and it did  shame on you |  SAD
central bank issue  with korea  iran  and irag  hmmmm  |  ANG
people should start to notice that mother earth is telling us to stop what is going on  the earth will evict us if we continue to disrespect  poison the planet  |  SAD
nice false equivalency  |  SAD
dirty old man  repent while there is still time  |  ANG
birth control and abortion are part of woman s heath care period  |  ANG
it is now officially trumpcare  |  ANG
shelly mac |  SAD
when is the state responsible for the power companies transformers  |  SAD
unless you invite me into your bedroom  stay out of my wallet and pay for your own sex related items  |  ANG
jim biederman |  SAD
😡 |  ANG
 legalized bigotry always more popular than illegal bigotry   freedom from religion very very important  |  ANG
go trump  |  ANG
it breaks my heart to see my friends suffer because their young adult child has become addicted to something like heroin  these are good people and they were excellent parents  it s all the same  drug addiction does nt discriminate  it does nt care how you were raised or what you were taught  if there s a pathway to take control of your mind it will do so  |  SAD
thanks  great points  i have made donations to a couple of these  i will look into the rest  |  ANG
and just how do you know this country is nt being punished for having trump run it  what evil did texas do to have a hurricane hit  what nonsense you spew  |  SAD
only serving himself  |  ANG
🖕🖕🖕🖕🖕🖕 |  ANG
potus  pos |  ANG
thanks so much president  |  ANG
yeah  and while you people are in denial  there is an increase in calamity in this nation and over the next few years it will increase exponentially  with each blasphemous post you justify the increase in calamity  and even when fires  floods  terrorism  hurricanes  mass killings  governmental abuses began to become more and more common  even effecting each and every one that has replied to my comment  you still will not repent  and you will blaspheme  cuz the average human being would rather die than obey god  and i say good riddance  |  SAD
the fires and resulting embers start with something  not by wind alone  not by climate change alone  it would be prudent to try to find out what ignited the fires  if it is arson  then the arsonist  s  are responsible for the deaths and property destruction  we had many fires in oregon this summer  some were caused by lightning  some by human negligence  and a few were confirmed to be arson  |  SAD
good people yes who follow a bad ideology  the prophet muhammad  piss be upon him  did not receive his message from the arc angel gabriel but from the arc angel lucifer  im done with you  next    |  SAD
100000 is not necessarily  high income  sure would be nice to make 100k in buford wy  but see how far that goes when you live nyc  i generally love pbs reporting  but it would have been better to address the complexity of america and how hard it is to make a uniformly fair tax code for everyone when there is such disparity in economic realities  not just the  being deposited into your account each pay period  but also how much it costs to live in different places  |  ANG
😓 |  SAD
really  |  ANG
adam lee thanks  |  SAD
washington ― president donald trump threatened to pull the us out of the iran nuclear agreement if congress doesn’t amend an existing law in a way that changes us commitments under the agreement ― a move that could in itself destroy the socalled joint comprehensive plan of action  “in the event we are not able to reach a solution working with congress and our allies  then the agreement will be terminated  ” trump said friday in a speech from the white house  “it is under continuous review  and our participation can be canceled by me  as president  at any time” under the 2015 jcpoa  negotiated between iran  the us and five other countries  iran has significantly scaled back its nuclear program and allowed broad access to international inspectors in exchange for sanctions relief from the international community  some of the restrictions on the number of centrifuges iran can have spinning and the amount of uranium it can enrich will expire between 10 and 15 years from when the agreement was implemented  trump’s preference  he said friday  is for congress to revise an existing us law in a way that makes those restrictions on iran’s nuclear program permanent  the revised law would also reimpose sanctions that were lifted under the nuclear accord if iran takes certain steps related to its ballistic missile program  trump said  senate foreign relations committee chairman bob corker  rtenn  and sen tom cotton  rark   have already started drafting such legislation  working in coordination with the white house  it is unclear whether the envisioned legislation would have the votes to pass  democrats  including some who voted against implementing the deal in 2015  so far have lined up against the proposal  rep eliot engel  ny   the ranking democrat on the house foreign affairs committee  slammed trump’s iran plan as an unrealistic attempt to unilaterally change the terms of an international agreement  “the president’s plan doesn’t make sense  negotiating additional terms to the nuclear deal requires a coalition of international partners  not unilateral congressional action  ” engel  who opposed the deal in 2015  said in a statement  “i strongly disagree with the president’s reckless  political decision and his subsequent threat to congress  at a moment when the united states and its allies face a nuclear crisis with north korea  the president has manufactured a new crisis that will isolate us from our allies and partners  compromising our ability to employ a diplomatic surge on the korean peninsula  ” said rep ben cardin  md    the ranking democrat on the senate foreign relations committee  who also previously opposed the iran deal  calling on lawmakers to redefine the iran deal  cardin said  is reminiscent of how trump handled immigration and health care policies  the president “is abdicating his leadership role to congress  just like with dreamers and just like with affirming and strengthening our health care system  it is a troubling pattern  we will not buy into the false premise that it is congress’ role to legislate solutions to problems of his own making  ” cardin’s statement continued  the key criticism against the trump administration’s proposal is that it rests on the assumption the us can unilaterally change its obligations under an international agreement without facing major blowback from iran or any of the other countries who helped negotiate the deal  iran’s foreign ministry warned that it would consider the nuclear agreement null if it stops receiving the benefits it was guaranteed under the 2015 agreement  “the islamic republic of iran will not be the first to withdraw from the deal  but if its rights and interests in the deal are not respected  it will stop implementing all its commitments and will resume its peaceful nuclear program without any restrictions  ” the foreign ministry said in a statement  “the president’s gambit is irresponsible and dangerous  ” daryl g kimball  executive director of the arms control association  wrote in a statement  “any attempt by the white house or congress to unilaterally change the terms of the highlysuccessful nuclear deal with iran risks setting washington on a course to violate the deal” trump’s speech follows a lengthy interagency review and months of speculation about whether he would scrap the nuclear deal or toss the decision to congress  throughout the review  trump reportedly pressured his aides to come up with a way to leave the iran deal ― even as members of his cabinet recommended remaining party to the agreement  secretary of defense james mattis testified earlier this month that abiding by the agreement is consistent with us national security interests  secretary of state rex tillerson explicitly told reporters on thursday  hours before trump threatened to terminate the agreement  that the administration planned to remain in it  the administration’s plan  previewed by tillerson on thursday  appeared to be a delicately crafted effort by trump’s advisers to give him the chance to deliver a toughsounding speech on iran while tossing to congress the consequential part of the decision about the nuclear accord’s future  tillerson did not indicate on thursday any plans for trump to threaten to scuttle the agreement if he didn’t get his way with lawmakers  trump also appeared to go beyond what tillerson had previewed on thursday when he announced his decision to authorize the treasury department to sanction “the entire islamic revolutionary guard corps for its support for terrorism” tillerson said thursday the administration would sanction irgclinked individuals and entities but would avoid sanctioning the entire military group because of potential complications if us troops encounter irgc troops on the battlefield  after months of waiving sanctions against iran and certifying its compliance  trump appeared to relish the opportunity to rail against what he described as a murderous “iranian dictatorship” he spent the first several minutes of his speech listing various grievances against the iranian regime  the iran hostage crisis that began in 1979  the 1983 marine barracks bombing in beirut  and iran’s support for various terrorist groups that threaten the us trump accused iran of committing “multiple violations” of the nuclear agreement ― hours after tillerson acknowledged iran is “under technical compliance” with the terms of the jcpoa  the apparent violations trump referred to have been described by experts as “minor infraction  s  ” that were quickly rectified  the international atomic energy agency  tasked with monitoring the use of nuclear energy  has now confirmed iranian compliance with the nuclear deal eight times  despite having the entire us intelligence community at his disposal  trump relied on vague assertions of iranian wrongdoing to build his case  “there are also many people who believe that iran is dealing with north korea  ” trump said friday  adding that he would direct the intelligence community to do a “thorough analysis” of the issue  former secretary of state john kerry  who led the us negotiating team throughout the iran deal talks  accused trump of “creating an international crisis” and urged lawmakers to act as a bulwark against the president’s plan  “president trump’s decision today is dangerous  ” kerry said in a statement  “it’s a reckless abandonment of facts in favor of ego and ideology from a president who would rather play a highstakes game of chicken with congress and with iran than admit that the nuclear agreement is working” this story has been updated to include comments from iran’s foreign ministry and former secretary of state john kerry  |  ANG
    |  SAD
while exploring ways to help  i am praying for all impacted by these disasters  california  puerto rico  usvirgin islands  florida  louisiana  texas  may your recovery be quick and complete  |  SAD
impeach |  ANG
wth are you talking about  |  ANG
fascism is not normal  |  ANG
read chasing the scream  by johann hari  we mishandled how we treat addicts for 100 years  |  SAD
dangerous moron  |  ANG
for republicans ❤      |  ANG
trumpfoolery |  ANG
they gave opium and oil  international laws against genocide are nt international  |  SAD
as terrible as it has been in the napa valley  it could have and would have been much worse without the amazing fire personnel working around the clock  monday we were almost surrounded by fires  to the north  east and west  nearly to the south  today we feel like the tide has turned and we are seeing the last of the big fires being fought down today and hopefully tomorrow  it was kept to the surrounding hills by these wonderful and tireless people  if you see a firefighter  give them a hug  |  SAD
todd ganek  no  you are good at deflection  the people who worship trump always blame obama and hillary clinton  |  SAD
sinclair sucks  |  ANG
the faces of evil |  ANG
liar  liar  |  ANG
did nt the hugh heffner mansion just come vacant he can become a playmate       |  ANG
charlie slemp grow up  |  SAD
president trump please do nt hire marino  |  ANG
colorado saw a decline in opiate related deaths after it legalized cannabis  when it’s easier to get addictive lethal drugs from your doctor than it is a very nonlethal drug like weed  you get more death  the rest of the county could learn from that    tidsmfb  utmterm17252b7358ff |  SAD
peggy silcox the problem is differentiating physical dependence from addiction  anyone taking opioids regularly for an extended period of time will develop increased tolerance and physical dependence  but once off the drugs  most people don’t experience craving for them  addicts may or may not be physically dependent  but they are mentally and emotionally dependent on them  and merely taking the drugs away doesn’t address the emotional and mental dependence or the factors that brought that about  |  SAD
they do nt have tiki torches in california  |  SAD
good now you will be safe  |  SAD
he’s gon na grab your pussy  watch out  |  ANG
i kno u r but what am i |  SAD
prohibition doesn’t work  that’s why  the harder you crack down  the more you reduce supply  the higher prices become  the more lucrative the black market becomes  the harder they push drugs  the more they cut the drugs with more dangerous cheap fillers  we need a regulated market  where potency  purity  and price is a constant  and the only prohibited things are public intoxication  and advertisement  where we pity addicts  supply users with usage guidelines to avoid addiction  and provide assistance to those who have problems  and stop taking medication away from those who need it  |  SAD
libtards are so bitter lmfaoff |  ANG
mae taylor |  ANG
krcg is owned by sinclair |  ANG
those look like bales of pot  could it be that they re concentrating on pot for the headlines and ignoring opioids  |  SAD
it appears your job is to lie for your idiot boss  |  ANG
yup  two scumbags |  ANG
please register and vote  |  ANG
i hear you nileta  we all know what the problems are at the epa  and how a lot of people feel about it  the real question is what do we do about it  i ve joined organizations that use lawyers to sue  litigate  and thus block or delay implementation of  or discarding of  epa protections  if you re interested  here are a few  edf  environmental defense fund   selc  southern environmental law center   nrdc  national resource defense council   and the audubon society  among others  they take action   |  ANG
money talks  |  ANG
grant colley typical repug        |  SAD
why should we be surprised  the entire trump administration is focused solely on fattening up their own wallets  to heck with anyone else  and that includes the global environment  |  ANG
i m tired of hearing the details over and over  |  ANG
monster  |  ANG
our village idiot  |  ANG
the  war on drugs  goes back to the 80s and it is still an issue so what we have been doing until now has not helped  we need new ideas that help the users and not punishment  |  SAD
  sticker   |  SAD
🐷🐷🐷 |  ANG
i wonder if the wife is nt still a prisoner  just now a prisoner of her husband |  SAD
saying do nt make it so  |  ANG
maddie starr  hater  |  ANG
so very sad and savage   |  SAD
45 you suck  |  ANG
without comment      |  ANG
ray fenstermaker  it s obvious you re a great follower of lucifer yourself  |  SAD
alisa arthur lol  that is just too ridiculous  lol |  SAD
scary  |  ANG
ann lane home visits to homeless children  |  SAD
we had over 50 mph winds which caused phone lines and trees to ignite in forested areas  the wind carried and embers and fed the flames  it moved so quickly that people had no warning  we’re still focused on evacuating and there’s been no containment  |  SAD
why do so many americans are so unhappy      |  SAD
ya working for trump is bad  bigly  |  ANG
why did they go  seems f d up to take your pregnant wife into hell  |  SAD
you know the murderer was an illegal right  in trump s america  this girl would nt have been murdered by this man  |  SAD
he hates almost all americans |  ANG
this was her idea     |  SAD
he can pitch it but can he explain it  |  ANG
puerto rico  california  priorities  |  SAD
democrats have known for 7 years now  that they did not appropriate the        legally  to then pay those subsidies  stop trying to blame trump for something democrats failed to do in 7 years since obamacare was enacted  trump is following the us constitution  that a federal court said obama was not doing  that constitutional scholar knows the us house of representatives appropriates the         they did not care  they could have fixed it at any time over those 7 years but failed to do sowho controlled the house in 2010 and are the ones that legally appropriate funds  the republican controlled us house in 2010 obama did not care  because they never expected to lose to trump  |  ANG
playing golf  |  SAD
some body in 3 piece suit needs to go to jail  like dea mentioned and our ex president hmm  some one did nt care  hope mr grassley finds out  |  SAD
california should be emptied of people and allowed to revert back to its natural prehuman state  its  just natural disaster after disaster  year after year after year  that the rest of the country has to pay for  california wo nt survive global warming anyway  it will kill everyone in california  most of the state is a dry arid landscape with no water  |  SAD
enough genocide leave people alone |  SAD
was before of after he met with the president of the virgin islands   commanderincovfefe |  ANG
he s wealthy  even if a felon  it wo nt matter  money buys respectability  just ask martha stewart  |  ANG
i m stating an observation david  there is no need to elaborate  it is my opinion  |  SAD
so we lose the world for greed      😡😡perfect |  ANG
where is the separation of church and state  |  ANG
ann lane this is sarcasm  right  |  SAD
climate change  changing weather patterns and more energy in the atmosphere lead to greater extremes of weather  stronger hurricanes  stronger winds  longer dry periods and  when it does rain  it will be more and heavier causing erosion and land slips  |  SAD
oh my what a klusterfuk donald trump president of the united states what if this is as good as it gets |  ANG
robert bonham does nt change the fact robert  does it  |  SAD
so why in hell would you go to such a dangerous place and take your pregnant wife     |  SAD
natasha runowski  longpine  see earlier reply  sonoma race track is an evacuation center  |  SAD
ca deserves all the fires they get  hopefully north korea finishes them off with a nuke   d cheers lefties |  SAD
something wrong with this guy  |  SAD
what a jerk  |  ANG
it is all money  if we as americans ca nt figure out how to stop the money flowing into our government we are doomed  and our country will be lost to the rich and corporations  |  ANG
😡 |  ANG
no way out this poor peoples suffering long time  this is no new  what s the problem  the leaders which governing this countries are like gansters they only knows make war they do nt think which is a country  but the simple people is dying slowly  nothing to do for them  us un can not help them |  SAD
what a putz  |  ANG
🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼 |  SAD
and you must not be a good professor if you are not better than responding to petty insults  or for that matter propagating falsehoods that they belong to the muslim community  do you believe the westboro baptist church are good hearted christians  do you believe the kkk are good hearted christians  this is the equivalency of what you are trying to state  that these terrorists belong to an affiliation of islam  |  SAD
medicine became chemistry and our bodies and lives are unwell  i know so many people hooked into drugs and paying with their lives  follow the money re  fentanyl  |  SAD
i am disgusted with myanmar  racist discrimination |  SAD
terrible  looks like a certain kind of bomb was dropped  |  SAD
awesome point to bad it wast 275million dead |  SAD
government small enough to fit in a woman s uterus  |  ANG
indict prosecute and send to prison if found guilty |  ANG
doctors should be jailed  |  SAD
brilliant  |  ANG
|  ANG
only 500000  well i know they are really just going back to where they come from a few decades ago  |  SAD
huh  |  ANG
obama |  ANG
lmao another brainwashed fool |  SAD
foxnarcissistic trump  news  lies |  ANG
i would favor negligence over arson  |  SAD
susan wells  it s a movie  a reflection of life  one in which you could nt be bothered to read the article  just offer criticism  not knowing what it s about  sad😟 |  SAD
this is very alarming  |  ANG
gee john  the tax legislation hasn’t even been published and you’re assuming all sorts of evilgreed  what is your outline for tax equity  keep in mind that most income wealth results from abilities  diligenc  and thrift  |  ANG
are you even for real  i hope not  |  SAD
liar liar pants on fire  |  ANG
dick  |  ANG
americans lack a soul  that is why they are so addicted  yearning for something to make them feel better and avoid their life  sad  |  SAD
why would he go there and be in the way   cnn  president donald trump gave his condolences to citizens affected by the wildfires currently raging in northern california  saying that the federal government  will stand with  them through the crisis  the president addressed the wildfires from the white house on tuesday and added that he s been in contact with california gov  jerry brown  |  SAD
grateful for release  and safety  but when you have the whole world to hike   |  SAD
i do nt whine  i object to the president  i ask you seriously what would it take for you to protest against something  i realize the line is different for all of us  but what s yours  |  SAD
the paid swamp is as strong as ever and citizens are dying  but who cares    congress i think not   |  ANG
nothing that s what they deserve for following a fake retarded religion and killing others over it god is punishing them |  SAD
what is the word helped i mean  is there the meaning of the word in this world  |  SAD
     |  SAD
so where has ang sang suchi been during all this genocide  you know  the woman  now the leader of the country  who was awarded the nobel peace prize  |  SAD
n e farms  hawesville  ky  |  ANG
form of genocide  |  ANG
tom wilen california bans you permanently 😂      |  SAD
glad they re home  but really  who goes to afganistan on a backpacking trip  and while pregnant  |  SAD
they have tiki torches in every state  we just try to keep them contained so they do nt get out like charlottesville  |  SAD
separation of business  government |  ANG
a man s cock does nt belong in another mans anus  period  |  ANG
liar  |  ANG
oh for pete s sake contraceptives stop the need for abortion  it needs to be free and accessible |  ANG
he speaks so slowly because he reads at the speed of a snail  |  ANG
rick attwood i agree 100  |  ANG
landscape like apocalypse poor people living there  california has been published by drought many years i can explain why california being a rich state is suffering too much  is truth albert hammond sing a song never rain in the south california |  SAD
whole plan is bs  kill the plan  |  ANG
looks like scenes from the apocalypse    😞 |  SAD
notice how the supposed solution always involves the pharmeceutical industry profiting   |  SAD
  sticker   |  ANG
well said |  ANG
how about the realities of all addiction and not just opioid addiction  smh  |  SAD
idiot |  ANG
he is taliban |  SAD
may god comfort and heal them  i am horrified by anyone who would wish differently  |  SAD
seriously  what is wrong with you  |  SAD
i m so sorry for everyone who lost their houses and wineries  |  SAD
a state can not sin because its dirt and rocks  god made the state beautiful to show god s love for all  god only want the real brave americans to live in california ones that are real leaders unlike the one in washington  |  SAD
👌🏻comrade  you’re probably old  |  ANG
his base  dumbfucks |  ANG
  hpidhphpvisualstoriesdesktopnoname  3ahomepage  2fstory  utmterm9a875f4ca93b |  ANG
propaganda machine  |  ANG
my prayers are with everyone |  SAD
heads up  ohio  |  ANG
never in my home |  ANG
i live here  fk you  |  SAD
scott covered in an earlier segment  |  SAD
it would confusse the fu out of lefties if he went to war to save muslims |  SAD
really  were you there  no  ever been there  no  i didn’t think so  |  SAD
you think you are better than me because of your knowledge  dont you  well  better people than you are suffering in those fires  and i hope you too will be suffering the wrath of god  |  SAD
two words  america   mari  and  juana  — any 20yo  can get you some   as any geek will tell you  always go with the lowesttech alternative   |  SAD
      |  ANG
more manure  |  ANG
of course the republican president is silent on this  too busy worrying about the nfl  |  SAD
lame |  ANG
us version of pravda   |  ANG
my son and his family are right in the middle of this tragedy  just heartbreaking  |  SAD
what  |  SAD
balanced reporting died with ronald reagan       |  ANG
opium is grown in afghanistan   blame the cia |  SAD
