he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
wow  watch the damocrats squirm  |  ANG
😡 |  ANG
have all the fun    |  LOV
|  ANG
took a play out of obamas playbook  |  ANG
actually the houses that burned up are usually the rich republicans living in the edges of suburbs surrounded by desert brush  zillow those houses in napa and la hills  |  SAD
thank you mary paulsen for having the ability to decipher my post  👍 |  SAD
it seems that they re gon na end up killing and eating each other  but they re full of surprises lately so i would nt bet the eggmoney on it  |  HAH
😁😁😁      |  HAH
sarah rose willett |  LOV
you know the murderer was an illegal right  in trump s america  this girl would nt have been murdered by this man  |  SAD
using the fate of innocent children as a bargaining chip  sickening  |  ANG
i do nt think that this one man can be used as a ruler to measure the success of all private schools  as i implied  he may have gotten into wharton  and he may have passed through their system with a degree  because of his father s wealth  it has been known to happen  |  HAH
i ve been an addiction therapist for twenty years  cold turkey never transferred into long term absence for all but a few persons  |  SAD
awful |  SAD
jenny vega |  LOV
mo on don loves to lose in court  |  ANG
i loved having his weimaraner calendars for many years |  LOV
horrific     |  ANG
it is a humanitarian crisis  on american land  disgraceful  |  ANG
maya alia  and  thank you  |  LOV
that’s why o don’t watch komo 4 |  ANG
she saved the day for obama care and the 3 republicans are our heros but right now everyone hates the republicans like a passion they will over look the good thing those 3 did and vote demo maybe if she wants to be re elected 2020 she switches to a demo then we all can benifits of her saving the days in the future days |  LOV
enjoy the ride  |  ANG
only 4 years  really  |  SAD
it s sad when it s your friends and family who make the national news 😢 |  SAD
  sticker   |  WOW
 enwikipediaorgwikiaungsansuukyi |  SAD
 youtube9lbasxq9nyc |  HAH
they are here in syracuse  grrr |  ANG
baby foxes  |  ANG
   share   |  ANG
no one cares |  LOV
 krugmanblogsnytimescom20171014lieslieslieslieslieslieslieslieslieslies  r0 |  ANG
obama did the leg work morons |  ANG
this man will find us a war  |  ANG
why would these people be smiling  they are happy for higher premiums and more people dying  |  ANG
suck up time |  ANG
this man was a riot    |  LOV
not that this should matter when it comes to individuals  worthiness  for disaster aid  people have died and lost their homes  just like in florida and in texas  we are still one country and the fact we can have differences in opinion but still come together when it s needed is part of what makes this country great  |  SAD
keith owsley |  LOV
 moron |  ANG
thank you  senator  |  LOV
corporations control congress  nothing new  |  ANG
sonika rm |  LOV
the earnings protection agency is nt listening   |  ANG
we’ve had approval from the white house for federal funds  but just for the counties up in northern california  i don’t think anaheim was included  |  SAD
new jersey  |  ANG
so why in hell would you go to such a dangerous place and take your pregnant wife     |  SAD
liar      |  ANG
idiot |  ANG
it means after trump s second term concludes we will elect our next republican president  it s a win for decent americans  |  HAH
i hope no one was injured or killed rescuing this family  |  SAD
it is being used as an evacuation center  the fire came to a hill across the freeway  but they stopped it there  |  SAD
thank you  as an art history student  i find this tacky  |  LOV
allison deputy  david deputy  daniel deputy  chloe deputy  emma deputy  justin aydelotte    |  LOV
no one wants trump at this inferno |  SAD
why are nt governments doing anything to stop these inhumanely horrifyingly cruel situations      |  SAD
trump is having the worst luck xd |  SAD
democrats |  SAD
our government has been poisoning us for yrs and of course they do nt want big pharma companies to lose moneyalot of our politicians own stocks inthese companies and others that only therich can even afford to have stocksoil toonfl   check it out  it s allgreedthe government does nt care about the regular citizens |  SAD
how do they feel about viagra  these old dudes are not using it to procreate so no coverage for them  hypocrites  |  ANG
😡 |  ANG
michael blair typical liberal stupid response  |  SAD
trump is going to kill a lot of americans  out of spite  |  ANG
government  healthcare  garbage  |  ANG
they can’t find them  it might be that your mouth is holding them for safe keeping  |  ANG
please register and vote  |  ANG
terrifying  stay safe  |  SAD
allison sage are you allergic to the truth in the form of learning both sides of the story  or do you just like to through insults around  i can’t speak for your character or your morals but i can to mine  i’ve already stated quite clearly that i don’t condone violence on either side  i do seek to understand the complexity of this conflict  something trump would never do  and i read everything i can to gather that knowledge  you can choose to remain ignorant but on this issue concerning a country i have grown to love  i choose to understand their history  their politics  their social mores  their spirituality  and their human condition  it’s easy for the simple minded like you to view such conflicts in their most base forms  i suspect that serves you or you’d abandon your life of ignorance  |  SAD
my organization is here now providing relief to the rohingya  please support global efforts and get involved  buildingforchangeorg |  SAD
it s intended to  |  ANG
😍 |  LOV
i do nt know even canadians experienced this and some folks have lost their hearing completely  |  WOW
thank god for republicans like senator collins that have actual morals and values  |  LOV
trump approved a pipeline that does not benefit our country  but puts our environment in danger  wonder how he benefits from it  |  ANG
you evil  hateful  vengeful old fool  |  ANG
they do nt have tiki torches in california  |  SAD
thank you to the first responders and others who put themselves in danger trying to save lives and property |  SAD
lest we forget    |  LOV
nothing new from john today  i’m sure he’s busy and would let someone know if there was a significant change  |  SAD
😭😭😭 |  LOV
here is a part of history many did nt learn and for reasons to deny you do nt want to be educated about this  but here goes   now you ca nt ever say  you did nt know  right  mfacebookcomstoryphp  storyfbid1415057008547412  id100001293796107 |  ANG
still hate him  |  ANG
the only way to stop this poison coming to the us is stop trade with mexico |  SAD
dream on dreamers   |  ANG
oh yes  i agree 100   i m having a little bit of trouble working up sympathy for the husband  something is just off with the whole story  and tell me  does the wife speak  i d really like to hear from her  |  SAD
jerry green typical comment when out of arguments |  SAD
more manure  |  ANG
where the hell does he dig up this crap  |  ANG
well said |  ANG
civilizations do nt last long america is at the end of it s rope  |  SAD
let s hope he moves on to the next topic to distract him like the size of his hands or the big big words that he knows  |  ANG
never should have been a deal in the first place  |  ANG
no tweets and yes he is that oblivious 😡😡 |  SAD
a man from bangladesh sent me a friend request  out of curiosity i accepted  basically  he was crying out for help from america  i seen videos of horrible horrible things  children tied to wooden stakes being brutally whipped  beheaded  tied to a tire and thrown in fire  absolutely gut wrenching  why are we letting this go on  my god  please help them all  |  SAD
rachel vitorelo 😘 |  LOV
so it is ok to wring our hands and cry  think of the children  when the issue of bathrooms comes up but not when raising awareness of homeless children  am i reading you correctly  |  SAD
raven capps crowl has it right  said much better than i did  sam jafarian  go live in egypt  or rather liberal morocco  or spend time in iraq  or saudi or even bahrain and the uae and get back to me  |  SAD
i love when people conveniently forget that california is home to some of the wealthiest republicans in the country  have no idea what socialism is  and say that they do nt hate anyone  but want them to die  take your meds and get some new material  bruh  if you re going to be a hatetroll  at least be consistent  010  |  SAD
punishment from god long over due and the worst is yet to come  the state of california is one of the most evil in the nation  with its selfrighteous hypocritical people  its crime and corruption  its racist suburbia  its rampant abortion culture  its sexual perversions  its sanctimonious silicone valley with their traitorous nature  its fornications and adulteries  its police brutality  its government extortion  its hollywood culture  its lawless immigrant culture  etc  etc  etc  the state has many many flaws  and they are unrepentant  and they are being punished  |  SAD
james a clark perhaps you should watch the movie and see if your burning curiosity will be sated  |  SAD
 wncworgposttrumpthreatenedkillirannucleardealdealwinsnow |  ANG
disgusting just simply disgusting |  ANG
1789 |  ANG
trump is a disgrace to nature  |  ANG
that would be unnerving  |  WOW
kate finnerty |  LOV
this saddens and disgusts me  we ca nt drink  eat and breathe money people   |  ANG
maggie grace  cole bouse  madison bouse |  LOV
pig  |  ANG
many may die  |  ANG
ely smith |  LOV
idiot |  ANG
this situation seems highly suspicious  canada needs to investigate carefully  |  SAD
amy lombardi psychos like you deserve it   resistyourstupidass |  SAD
do nt look yu missed many meals  jus sayin   |  SAD
ps   his first weims were named man ray and then faye ray and then came  bettina  |  LOV
had enough yet  |  ANG
todd ganek are you blind or deaf  the country is burning  flooded  and hammered by every force of nature in the last couple of months  have you watched any news  listened to any radio  read any papers lately  have someone read them to you and then get back to us  |  SAD
 youtubew3ouqkux2o0 |  HAH
if trump is such a thoughtful person  according to mr kelly  why do his public comments  tweets  appearances  etc  not show that  |  ANG
hasn’t hollywood always had this stuff going on  |  ANG
why ca nt we figure out what causes addiction  any kind of addiction at all  |  SAD
  |  ANG
unfortunately he has a massive following of people who are falling for the propaganda  die hard republicans who will back anyone being republican  i m neutral and have voted both ways but it is usually always democrat  but i do my studying  of history and of the candidate  he appealed to the massive christian population by suddenly becoming a christian himself despite his history  his language  his behavior   makes people a whole new aspect of  moving forward blindly  they do nt see that cliff  |  ANG
california is violating immigration laws  no federal disaster relief dollars for california  |  SAD
fortunately the rest of the planet are going to renewables  |  ANG
 sway pruitt     good luck with that  |  ANG
pretty simple  it eliminates reliance on foreign oil from nations in the middle east  south america  etc  |  ANG
they can not integrate into a civilized peaceful society  proved time and time again since 800 ad |  SAD
and we do know what that means ya bum  thinly veiled  |  ANG
a republican with a spine  |  LOV
spies |  SAD
trump  i ve known harvey weinstein for a long time  i m not all surprised to see it   |  ANG
what a stupid comment  |  SAD
neither of which belongs in my healthcare plan at work  |  ANG
remi would make a gorgeous model  note how much fuller his figure is  |  LOV
deplorable and disgusting  |  ANG
 it was the rise lantern festival held on friday the 6th  saturday the 7th  i m hoping this event had absolutely nothing to do with anything  |  SAD
they will never blame big pharma they donate too much money to everyone  |  SAD
shame get rid of the whole admilnastration |  ANG
surprise |  ANG
gary bailey its my opinion  that s all  and that should be good enough for you  |  ANG
here is tamara on pbs  |  HAH
😍 |  LOV
maria linda pilati |  WOW
hey mike  i hope trump visits your family soon so he can grab your women s pussy  he s a moron and a pig |  ANG
tell trump to go to hell for me  |  ANG
same here    the outfits he chooses are 👌👌👌 |  LOV
diana lin |  LOV
love president trump  great guy  making america great again |  ANG
most people who take these drugs do nt become addicted  that s why the drugs are still legal  if 2 to 5 percent of the population has a physiological difference that increases their tendency to become addicted  that s a lot of people in a population as large as ours is  it s a really big problem for everyone  |  SAD
pbs is fake news  the death toll is 17 they lie and misrepresent |  SAD
makes one wonder if this is the beginning of the end  what with all the “natural” disasters and all the evil and cruelty in the world  i’ve lived a long time and never seen this much ugliness ever  |  SAD
fake news |  ANG
stop playing with this sick pig |  ANG
what a lovely man  ❤️ |  LOV
children and animals |  LOV
evidently our numbers are good enough to get his attention and we will be  rewarded   |  SAD
the firefighters and police and all who have supported the community deserve a huge thanks  all heroes and heroines  |  SAD
next |  LOV
and it will be again because that s what makes america great  not   |  ANG
eva liew  ido nt believe in sky fairies  i do nt feel bad  i do nt live in a wildfire zoneearthquake zoneyou name it natural disaster zone  and then expect disasters to never happen  and then have your socialist gov beg the feds for help  after giving them and us the finger  all 40 million could parish by the flames and i would not even care  because i m not a moron that lives in a constant state of disaster like california  |  SAD
sadly  you are right |  ANG
tired of  winning already  |  ANG
we aren’t buying the bs plan  try again |  ANG
give americans some pills  and they kill themselves  |  SAD
like em   |  LOV
i knew it was only time before  after the 1 october massacre when we all came together  that people would start attacking each other again  sigh  |  SAD
how is this legal  |  ANG
tja  wirklich grässlich  die dea hat keine chance  es ist wie mit allen drogen  es gibt leider zuviele menschen auf der welt  die ihre gier nach noch mehr geld gewissenlos auf kosten und untergang anderer menschen befriedigen   |  ANG
only because he was told he should  the  optics   you know  and the only words he spoke that showed any compassion at all were on his teleprompter  which he delivered sans emotion of any kind  it s always and only about him  |  SAD
exhausted trying to keep up with the latest on these psychopaths  |  HAH
ethic cleansing is a one sided and simple solution |  SAD
 cnn  president donald trump gave his condolences to citizens affected by the wildfires currently raging in northern california  saying that the federal government  will stand with  them through the crisis  the president addressed the wildfires from the white house on tuesday and added that he s been in contact with california gov  jerry brown  |  SAD
the gop agenda of screwing over the idiots who voted for you and undoing all progress  |  ANG
this person answers questions   |  ANG
hands off birth control and wade vs roe  |  ANG
first seen these dogs on letterman  the morning show  love em  |  LOV
i m an adherent to the 10th amendment   the powers not delegated to the united states by the constitution  nor prohibited by it to the states  are reserved to the states respectively  or to the people   i have no problem with individual states adopting and implementing a type of universal healthcare program  but have issues with the federal govt creating one  one could make the argument that if health care is a right and people therefore should not be denied access  then through the 2nd amendment  i should be able to have my guns  arms  given to me by the federal govt  paid for by john  jane taxpayer  i also am against paying for someone s healthcare if the condition they are in is selfinflicted  heart disease  diabetes  etc  as a result of poor diet and lack of exercise  or they blew off their fingers lighting off fireworks  i can see the argument made regarding the  general welfare   but it is a broad and subjective term  i feel unless it is explicitly stated in the constitution  then the federal govt has no right to be involved  |  ANG
prices are going up up  up      |  ANG
all out of jealousy of obama  |  ANG
donnie dotard is an idiot    |  ANG
wonderful |  LOV
nice broad brush stroke you have there  |  SAD
we let nestle take all of californias ground waters for super cheap  water that will takes thousands of years to fill  if that does happen to cause a bunch of dry bush fire material to build up i dont know what will  |  SAD
the real  woman of the year     forget brucecaitlin jenner  |  LOV
i will keep you in my thoughts  i briefly scrolled your page  it seems we are a lot alike  i lost my son in april  never give up  keep talking to them and encouraging them to get help  i m hoping for a better outcome for you and your family  ❤️ |  SAD
feeling more like the hunger games everyday here in the us  |  ANG
an implosion of brainfreezing terror  well done mr kay   |  LOV
i guess  its not the best way  |  SAD
he’s jealous of and humiliated by obama this is trumps retaliation  |  ANG
a good guy with a gun  |  SAD
what a fantastic outlook on life   |  LOV
you’re bat crap crazy dude and just ridiculously stupid  go crawl back under a rock from whence you came   |  SAD
its ethnic cleansing not genocide  burma is perfectly happy to let them live just not there |  SAD
only 500000  well i know they are really just going back to where they come from a few decades ago  |  SAD
show your evidence  with all your information why are you here on fb  you had better contact the authorities  |  ANG
look at those happy people  |  ANG
and that will mark the end of the constitution and democracy and this country permanently |  LOV
katie canavan smithson  an article you might be interested in  |  LOV
couldn’t hear a thing  i also have tinnitus  maybe only younger peeps can hear it  |  WOW
30 or so souls lost  thousands of families suffering  thousands of folks on the fire line  and  you all worried about trump  so sad for you  |  SAD
praying that the missing people got out of harms way  |  SAD
secretary of idiots    |  ANG
god  keep these wonderful menwomen safe  stay with them   3 |  SAD
puerto rico  california  priorities  |  SAD
that explains a lot |  ANG
the drought left millions and millions of trees a tinderbox  one year does that not correct a decade of drought  the santa ana winds plus very low humidity is the determined cause of fire  please understand weather patterns geographical zones  |  SAD
who the heck would vote for either one of these idiots |  ANG
you are more optimistic than i we re stuck with him or we ll be at war or dying from pre existing conditions  |  SAD
why do nt you talk about all the people in chronic pain getting screwed over because of opophobia  i had my face ripped open by a 140lb rottweiler needed 4 stitches and you know what they did for my pain  nothing    they said take an advil  it s like pain has been criminalized  the two groups of people in this country it s ok to make fun of the obese and people in chronic pain  |  SAD
shameful |  SAD
i ca nt decide if the donald trump whitehouse is a glorious boon for the media or a complete and utter nightmare  his mental illness certainly has them chasing their tails  i ll give him credit for that  |  HAH
he is an evil scum bag  |  ANG
my heart right now  💔😢 |  SAD
❤️ |  LOV
and metro stations   |  LOV
birds of a feather 😶 |  ANG
and if you joined a wellregulated militia  i would fully support the federal government paying for your arms  though i suspect your definition of wellregulated  would not match mine  the national guard is welcome to my taxes  as to paying for someone else s healthcare  you already do  regardless of type of injury or illness  as long as it is a forprofit business  it is going to have to be paid for  and basic economic truths tell us the majority of that is going to rest on the middle class  at least in terms of percentage of income  which limits their spending power  which in turn degrades our country s economic health  i understand the urge for a strict interpretation of the constitution  but i fear that does a disservice to the constitution itself  the country it is intended to guide and to humanity in general  and i know you understand the need for the evolution of our governing documents  or you d have more to say about the 35s compromise and every amendment added after initial ratification  as an aside  you imply here that you d be fine paying for other people s healthcare as long as they allowed you  or someone else  to legislate their diet and exercise regimen  that does nt seem very libertarian of you  |  ANG
this plan will actually help the lower income earners because it doubles their standard deductions  democrats would rather poor people have less in their pockets if it meant the rich paid more out of theirs  |  ANG
who is to be blamed but the crooked doctors who prescribed it to their patients without any adequate judgement just not to lose them in their lists  |  SAD
let s replace global warming  with better disaster planning and better pollution study  and ca  you may want to reconsider your anti american rhetoric  |  SAD
this story is very fishy  |  SAD
a wasted iq  whatever it is  sad  |  HAH
amurica has elected a president who recently met the president of virgin island  you know the country near nambia who s cash crop is covfefe  |  SAD
same with my tinnitus |  WOW
he is glad to be alive  that is a gift when dealing with trials and tribulations of aging  each day is a gift  enjoy yours  |  LOV
he can compare notes with mr t kind of same sad behavior  |  ANG
failed how  what accomplishments has america s thirdrate deal maker made in his first term  |  ANG
ellie |  LOV
that trump is out of his mind  |  ANG
bbc news  check them out  sinclairless  |  ANG
trump bites  |  ANG
poils  poils  poils  i m so sick of poils  she thinks she s casting pearls before swine  |  ANG
why blame him  it s the idiots that voted for him  |  ANG
he never said how much money the government subsidies the coal industry in comparison  |  ANG
 mobilenytimescom20171010uspoliticskansastriedataxplansimilartotrumpsitfailedhtml    |  ANG
just love this duo    |  LOV
gag  he is a sick nitwit |  ANG
so touching  inspiring |  LOV
good question  why is nt the father paying child support or locked up  it should be one or the other  |  SAD
samuel ciricillo owen young |  LOV
he does nt seem to connect to what he s reading  what is wrong with him  |  ANG
n e farms  hawesville  ky  |  ANG
linda mae brown  how will that happen  please provide details  educate me  |  ANG
pbs wo nt even air it  |  SAD
not our problem |  SAD
👍 |  LOV
oh  jeffrey  republicans do nt need obstruction by the dems  they have a few decent people within their own ranks to stop them from perpetrating legislative travesties on our nation    |  ANG
nothing is yet being done to stop this  trump ignores the problem  |  SAD
backsliding  |  ANG
your tax plan is crap |  ANG
i used to live in sacramonto  this is unthinkable  |  SAD
❤️  |  LOV
creepy  sorry |  LOV
so where s the boss of the dia in all of this  crush this nonsense  |  ANG
hell john  i do nt care if the rich get richer  after all  they re the ones that invest and hire employees  or the companies they invest in do   my primary concern is that i do nt get any any poorer  i m retired and due to the stagnant economy i have nt had an increase in my retirement paycheck since jan 2001 the potus s  43  44 economic policies did nt do squat for me  in fact  i was penalized when my wife died because i now have to file as single  that increased my taxes while my income and outgo did nt change  because of the screwed up tax system needed to support all the entitlements for the  poor  i now have to pinch penny until lincoln squeals like a stuck pig  where is the support from the dems  who only want to increase taxes so they can spend it  to redo the tax code  frankly  i could do a lot better with a consumption tax because i d then have some control over my spending and taxes  and  i guess you think taxing manufacturing and other corporations is the answer do nt you  hello  they just pass those taxes on to the consumer with higher prices  boy  you need to stay away from the socialist s koolaid  |  ANG
disgust  |  ANG
douchebag |  ANG
salvador rodriguez you sound stupid and racist |  ANG
i m very concerned that people are being one sided about this drug  i know many first responders who have said this drug saves lives to a large degree also  it is a vital tool  abused it s deadly  but i find this campaign alarming  for terminal patients and for victims of shock it s vital  many crash survivors  burn victims  gun shot victims and many others only survived because of the strength of this drug  the addiction overdose stats are truly alarming but they have not published the statistics that are life saving and essential medicine for terminal patients  it concerns me to see vital medicine demonized because of misuse  if it is banned many more will die unnecessarily from trauma  many terminal patients will take their lives prematurely as the pain can be unbearable  |  SAD
foxnarcissistic trump  news  lies |  ANG
why do you even bother to assume any of them actually have a plan  their only aim is to destroy our democracy  and anything obama accomplished  when will you start questioning their actions and call them out for their heinous actions   |  HAH
it s fairly common to have group interviews in the social services field  i agree with everything else  |  SAD
never in my home |  ANG
geez  he looks like someone took away his lollipop  |  ANG
omg  how absolutely awful  no words  |  SAD
dawn campbell and people who live in incredibly high taxed states  with horribly common natural disasters  only to take care of illegals  are morons  please learn some common sense   |  SAD
whole plan is bs  kill the plan  |  ANG
thank god  we need more sane voices like hers in congress  wouldlove to see her run for president  |  LOV
trump disgusts |  ANG
proverbs 239 im done with you ishmalite   the order of dragon  is coming for your kind  next    |  SAD
the biggest red flag here  since all the little red flags of this being set up as a sales meeting were missed was  they would not tell you the benefits  until after you were hired  that s as vital to you to make the decision  as your qualifications and experience would be for them  to make theirs  back to my other comment  a job interview is as much about you interviewing them  as them  interviewing you  that should have been treated by the son  just as an employer would have treated a prospect  that refused to say where he worked last and what his education is  |  SAD
i have a few of his coffee table books  i do nt think i can ever get enough of his work  love those weims  |  LOV
god bless them and keep them safe  |  SAD
it s ok  i sent an email to his company to let them know what type of employee they have       |  SAD
mick silvers |  LOV
“great  👍👍👍 |  LOV
birds of a feather        |  ANG
definition of fake news  |  ANG
🔎 yes — our nancy drew antennae are spoton  🔍 |  SAD
no |  HAH
trump’s plan is a massive tax cut for the wealthy  cutting taxes for the wealthy few by an average of  40000 a year  trump would cut corporate taxes in half  and cut taxes on overseas profits to zero – rewarding companies that send jobs overseas  his plan also includes a brand new tax loophole for highflying noncorporate businesses like law firms  investment funds  and donald trump’s own real estate empire  trump would eliminate the estate tax  a huge personal benefit to his children – and millionaire heirs like them   remember  only estates over  11 million pay any estate tax   for middleclass families of 4  or more   the elimination of the standard deduction means a big tax increase  they’re even raising the tax rate on the poorest americans – those making less than  9000 a year – from 10  to 12   |  ANG
god  keep those firefighters safe  send ángels from the heavens to protect our ángels here on earth   |  SAD
they re amazing |  LOV
the same page on twitter or in their private journals or in the congressional record or in the newspapers or in their talking point notes  |  HAH
iran would like to change trump s behavior  is that possible  |  ANG
what a joke lmao |  ANG
so  so sad  |  SAD
no mention from drumpf about this disaster  no surprise with that |  SAD
no big biz pays 35   effective tax rate  warren buffett says his secretary paid more taxes than him ge paid 5  trump  0  wait until they put numbers that correlate to the 3 brackets and let several economists evaluate the proposal remember trump promised the changes won’t help him and will be heavily weighted to the middle class |  ANG
rick attwood please reread my post sir |  ANG
can not trust trump s word  |  ANG
people should start to notice that mother earth is telling us to stop what is going on  the earth will evict us if we continue to disrespect  poison the planet  |  SAD
a man s cock does nt belong in another mans anus  period  |  ANG
scarey |  ANG
anthony amadeo |  LOV
even though she is a moderate  she still votes to keep scum like mitch mcconnell in power  i wish she would run for governor so maine could elect a real progressive  |  LOV
brilliant  |  ANG
those are nt cameras  they re microscopes  |  ANG
there have been very many wild fires along the west coast from canada on down  try thinking global warming and climate change  |  SAD
grand theft is not a tax plan  |  ANG
omg this is awesome |  LOV
follow the money  pruitt worships cash  the only religious action he takes is taking up a collection from big oil etc  |  ANG
agreed  i m always wondering why this so called cleansing of an ethnic muslim minority draws so much attention when the general ongoing persecution of muslims elsewhere on the planet never causes a whimper  |  SAD
wtf  |  ANG
depressing example of the worst parenting  |  SAD
hey trump  look down  your pens are on fire  |  ANG
two words  america   mari  and  juana  — any 20yo  can get you some   as any geek will tell you  always go with the lowesttech alternative   |  SAD
there are plenty more  turn the rocks over  😂 |  ANG
ehhh  clever comeback and all but this girl was still beaten to death by an illegal immigrant and you idiots are laughing blaming trump for this  |  SAD
wait and see  the middle class and poor will get the short end of this too  |  ANG
danielle  |  LOV
it s heroin and fentonal  report it right |  SAD
he hates almost all americans |  ANG
nobody s trying to  ban guns   moron  |  SAD
the government |  SAD
thankhou  my sons friend father owns repair shop next to track |  SAD
how wonderful  |  LOV
i love his work      |  LOV
gregory malush because you re infatuated with anus  maybe you re facilitating my entire girth inside you  |  ANG
undoing more of obamas damage |  ANG
so where has ang sang suchi been during all this genocide  you know  the woman  now the leader of the country  who was awarded the nobel peace prize  |  SAD
what the hell is wrong with you  |  SAD
everyone pays for everyone elses medical care  one way or another  |  ANG
premeditated murder |  ANG
it s fake news that our president is nt helping pr  geraldo rivera has family that lives there  even his mother he went there  he reported that the country is getting everything possible  he said he was proud of the job president trump had done to help them out  pr had lots of problems before the hurricanes deep debt  no power on parts of it  just general lack of upkeep   so many of the issues were already there  now it s just worse  i think they are trying to manipulate the story to get everyone to hate the president   |  SAD
jan jackovitz ferrara you seem to have blocked your tiny brain already |  SAD
i kno u r but what am i |  SAD
to free hostages  you have to take the risk to kill them  likewise  to free nature from the capitalists  you have to risk destroying this nature  |  ANG
yes  thank you  |  LOV
failure at being humane  |  ANG
45 you suck  |  ANG
i think we could have seen a child in k4 do a better job as potus  |  HAH
beautiful  |  LOV
rental |  SAD
boris is boring |  ANG
iran has even said they aren’t sticking with the deal and will do whatever they want  |  ANG
is there a lesson to be learned from past experience     evidently not   |  ANG
i live here  it s terrible  |  SAD
judy van leuven you stole my thunder 😂😂😂😂 |  SAD
troll |  SAD
nancy salvage inbreed  invading another country is illegal |  LOV
corrin 😂 |  LOV
waggers  julie meadows wosak |  LOV
what a wonderful man  |  LOV
that s almost exactly what my tinnitus sounds like  only sharper and more distinct  |  WOW
fascism is not normal  |  ANG
l |  ANG
fuhrer trump s court lies a lot  |  ANG
hahahaha more wasted money |  ANG
only rain can really fix this |  SAD
bad development  sinclair pushes fake news  |  ANG
mindy kremer |  LOV
that s not the collins who needs to go  ny needs to get rid of theirs  |  LOV
    |  SAD
i suggest reading william  it s a fact  everything i stated  |  SAD
melissa kibler ❤😂 |  LOV
knowing the cause could help to prevent in future  |  SAD
beautiful  ❤ |  LOV
thank you |  LOV
 orangemoron |  ANG
lies all lies |  ANG
sad all because people think their take on god is the only right one  |  SAD
greece has done an outstanding job of rescuing refugees from the seas for years  welcoming them  helping them  it s inspiring  |  LOV
trump is dumping  clean  coal on california  maga  |  SAD
i look forward and enjoy all the brief but spectaculars     thank you  |  LOV
they have a stellar record in the courts  thus far  😂😂😂 |  ANG
wow how amazing |  LOV
no  this ca nt be solved here  but this medium does provide deeper awareness and may reach some one who can possibly do something to make a peaceful change  no human deserves this treatment      |  SAD
alison mccarrel miller pbs constantly uses children to manipulate its followers  emotions  very wrong  besides  its a movie  there are tremendous resources currently available for homeless children  every resource is available to them  food  shelter  money  social help  what is drawing attention to children and families in shelters going to do  what do you want us to do that is not being done  if they are in hotels and shelters they are not on the streets homeless  |  SAD
please make it stop      |  ANG
nothing  if we the people get out and vote them all out      |  HAH
ray fenstermaker  it s obvious you re a great follower of lucifer yourself  |  SAD
i do nt trust him at all      god bless america |  SAD
fake news |  ANG
what about pbs partisan tilt  |  ANG
show us your tax returns mr liar in chief  |  ANG
 youtubegvtnyozgogc |  ANG
carole broemer |  ANG
a culture of abuse      |  ANG
 myoutubecomwatch  vye7xsljvwm |  ANG
get him out  get him out  get him out  |  ANG
is this how someone with a high iq talks   youtubephi2jbrlmsw |  HAH
i make a bad decision  i need the government to pay for it  i want to continue to make bad decisions  so my government tells me i can  for free   of course someone else is paying for it   continue on and ca nt afford to feed this  thing  so  the government steps in  for free  feeds it  now 60 yrs later never having a job the government pays to bury this  for free  in a nice pine box  what a life  government provided  |  ANG
judge not lest ye be judged  |  SAD
fantastic president |  ANG
who are the people clapping  |  ANG
sound for questions |  ANG
you re the one being laughed at here  bro  now take your pills and go back to sleep  |  SAD
what is wrong with men like him    |  ANG
barbara |  LOV
 25thamendment🍊💩 |  ANG
i do nt whine  i object to the president  i ask you seriously what would it take for you to protest against something  i realize the line is different for all of us  but what s yours  |  SAD
after watching the pbs special on pruitt  it is very clear that he is owned by big business and cares nothing about the environment  this man is a clear danger to america and the world  |  ANG
scary |  ANG
 lfacebookcomlphp   3a  2f   2fsamericabeforeepadocumerica201710  hatozokblkqbcdmmoeou5pnhrnckp0ecszksyr7ht0n4ypl565eydh5u88gqp5r6ylbbije7z5a25y7e8bo9sx6yqkbbveaj5vtcajjbhgedayajjegxj6ud2lufsbxajoj7gvle8xhyuurapxv3uc1hrd4uo7h2nogx2vd2hbr5sc5ey3eemuzifc3eroavomtyd8zlzojxbzeuonzc7qszaxfdntzbf4qnj8vedxu6rd3jnlwkzh2lrbb4kzhmjn2mbvrbmjyckhcf8jkoiciwfw |  ANG
where s trump  |  SAD
this guy is an animal and should be in jail  along withalltheotherfreaks |  ANG
the cause  if you identify the cause  you can fix it  generally  |  SAD
sarah whitt salley |  LOV
one of the best things i’ve read on saving family and friends suffering from addiction       |  SAD
yes it can  |  ANG
kristin kohnke schaff |  LOV
i m stating an observation david  there is no need to elaborate  it is my opinion  |  SAD
it s a stretch  but perhaps it s a unique  particular variety on nighttime cicada species  like this  but not    vshgux060re0 |  WOW
he wants to be richer |  ANG
stop men for causing them to have an abortion  they are as much responsible as the woman  |  ANG
then how about the invasion of libya and invasion of many other countries allegedly for the fucking freedom   which country did syria attack  you guys are the worst of all human race to be honest  |  SAD
the only destabilizing force over there is the europeans  |  SAD
wtf  scholars |  ANG
it is too bad we can not hear the questions  |  ANG
joshua poyadou whaaaat are you talking about  lol  |  SAD
take their lic  away |  ANG
abortions are at an all time low in this country  a good paying job helps a ton  are we living in country of freedom or not  |  ANG
let s take another look at these individuals then  do nt ignore something like this again  |  ANG
i hope all these white guys get some sort of payback for razing our country  |  ANG
