what a jerk  |  ANG
omg  how can i get that mental picture out of my mind  😲 |  ANG
answer the question bert or are you a russian troll  |  ANG
here is your answer      |  ANG
ok stupid  if that orange fool start a nuke war millions will die and we will be left with trillions rebuild so i ask again clown are you ready to pay 10s of trillions of dollars to rebuild two countries  |  ANG
trump has no idea how to make deals |  ANG
what a man  a legend in his own mind  |  ANG
lol the moron is clueless |  ANG
another well thought out plan  🤡 |  ANG
idiot in chief 💯 |  ANG
we ought to scrap him  |  ANG
let it burn |  ANG
amerikas empress       |  ANG
too bad for certain areas that are not friends of iran  |  ANG
the coal guy was creepy |  ANG
this will not bring back coal  the price of natural gas is what s killing the coal industry  |  ANG
scott pruitt running the epa is like a pedophile in charge of a daycare  |  ANG
who are these 4000 scientists  what kind of scientists are they  who do they work for  |  ANG
fortunately the rest of the planet are going to renewables  |  ANG
frack  drill  and burn  let’s roll america  |  ANG
power plants can still do the right thing and continue to cut carbon emissions  |  ANG
why i hate gop  for themselves and their friends the same  not for you  |  ANG
shame get rid of the whole admilnastration |  ANG
time to buy stock in face masks  big pharmacyasthma meds  |  ANG
and for their next legislation trump will allow cigarette smoking back into public establishments |  ANG
here s a visual representation of trump s and scott pruitt s vision for america s future environment and climate       |  ANG
who needs to breathe anyway  |  ANG
why are we letting this idiot destroy our planet  can he be stopped  |  ANG
its a war against we the people   think       |  ANG
stupid move that will not even work or make anything better |  ANG
the trump administration needs to go |  ANG
2017 was officially the year trump waged war on science |  ANG
but what about trump s promise of clean clean coal  |  ANG
simple incredible  trump s clown car cabinet and policies are toxic to the human race  |  ANG
got ta love going backwards   what a waste of time and money  |  ANG
its going to be up to companies and individuals to keep and follow the obama clean act rules |  ANG
this piece was a disappointment  i expect experts  not activists  on your show  |  ANG
going backward to the 19th century  |  ANG
just because the feds roll back policy does nt mean that states will follow their lead  |  ANG
could that guy in the interview be more full of it  |  ANG
the future is ours to make  |  ANG
he never said how much money the government subsidies the coal industry in comparison  |  ANG
time for this the spineless  immoral republican party to remove this immoral  mentally ill trump from office before it is too late  he and pence and an inept  immoral  corrupt cabinet need to be cleared out as well  times up  |  ANG
climate change or pollution   which is man  responsible for  |  ANG
if there are 4000 scientists that don’t believe in climate change  then there are about 129333 who do  |  ANG
further proof the man is a moron  |  ANG
trump will only be in for one term and then we can go back and fix it  |  ANG
watching mr bob murray of murray energy corporation was like watching that news clip of all those tobacco executives each testifying that tobacco was not addictive |  ANG
we need to get over the fact that these people are innocent until proven guilty  climate deniers need to be held financially accountable for climate damage |  ANG
mr murray is a joke  plain and simple   fullofshiza |  ANG
good obama sucks his stupid policies sucked and his followers are just f ing stupid af |  ANG
good read |  ANG
utter madness |  ANG
horror |  ANG
undoing more of obamas damage |  ANG
do nt people like you ever get bored of being proudly stupid and misinformed  |  ANG
what damage  could you be specific  |  ANG
greed  |  ANG
make america polluted again  |  ANG
dumb move by trump  |  ANG
does he really have any other moves  |  ANG
gross |  ANG
stupid  |  ANG
😢 |  ANG
  sticker   |  ANG
war on breathing |  ANG
fake news  |  ANG
pruitt  environmental polluter in chief  |  ANG
  sticker   |  ANG
clean is not suited for them   |  ANG
making america not so great again |  ANG
so presidential  |  ANG
unbelievable |  ANG
mo on don loves to lose in court  |  ANG
had enough yet  |  ANG
murray  really       |  ANG
lektricity |  ANG
disgraceful |  ANG
what does epa stand for  |  ANG
such a shame  |  ANG
omg |  ANG
fake news |  ANG
wtf  |  ANG
what a stupid meme  man of the year is about being influential  not necessarily in a good way  weak troll  |  ANG
i think you might be right      |  ANG
this saddens and disgusts me  we ca nt drink  eat and breathe money people   |  ANG
nasty cockroach  |  ANG
idiots  |  ANG
moron     |  ANG
good  |  ANG
criminal  |  ANG
what is the epa  |  ANG
figures  |  ANG
disgust  |  ANG
45 has got to go  |  ANG
🤦‍♀️ |  ANG
winning  |  ANG
suprise   not |  ANG
 orangemoron |  ANG
why  |  ANG
 lock them up  |  ANG
deplorale  |  ANG
why  |  ANG
pure evil |  ANG
awful |  ANG
creeper |  ANG
kick them all out  |  ANG
wtf   |  ANG
stupid  |  ANG
he needs to go  |  ANG
😡 |  ANG
shame  shame  shame  shame  shame  shame  |  ANG
💩 |  ANG
meme by lm       |  ANG
idiots             |  ANG
  |  ANG
can he make statements from jail  |  ANG
😡 |  ANG
dick |  ANG
repeal scott pruitt         |  ANG
this is what used to be before epa    allkindsoftrashusedtogetdumpedoutsideofnewyorkcitylikethiscaratbreezypointsouthofjamaicabaytheepahelpedinstituteregulationsforhowthecitydisposedoftrashtopreventdumpingintheatlantic13 |  ANG
and it will be again because that s what makes america great  not   |  ANG
drew landry |  ANG
go enjoy your birthday  |  ANG
 youtubeldptsqltivk |  ANG
another sad sad day for america  |  ANG
trump con america |  ANG
how to ruin america  |  ANG
this is antiamerican  |  ANG
 lfacebookcomlphp   3a  2f   2fsamericabeforeepadocumerica201710  hatozokblkqbcdmmoeou5pnhrnckp0ecszksyr7ht0n4ypl565eydh5u88gqp5r6ylbbije7z5a25y7e8bo9sx6yqkbbveaj5vtcajjbhgedayajjegxj6ud2lufsbxajoj7gvle8xhyuurapxv3uc1hrd4uo7h2nogx2vd2hbr5sc5ey3eemuzifc3eroavomtyd8zlzojxbzeuonzc7qszaxfdntzbf4qnj8vedxu6rd3jnlwkzh2lrbb4kzhmjn2mbvrbmjyckhcf8jkoiciwfw |  ANG
no deal  trump is not going to make americans pay for his stupid wall  |  ANG
the immigrant must clearly understand one thing at once  he must get out  herrmann goring |  ANG
using the fate of innocent children as a bargaining chip  sickening  |  ANG
trump is using the dreamers like a commodity |  ANG
we need to vote out republicans what republicans wage war on  people of color poor people fair taxation quality education access to healthcare welfare food stamps people with disabilities lgbtq people safety the constitution other countries clean energy mother earth world peace religions besides radical christianity free speech women truth the media what democrats wage war on  unfair tax structures inequity unkindness gun violence nazi mindsets legislated religion inequality prejudice lack of access propaganda fascism lies liars rapists sexual predators any questions  which side are you on  |  ANG
trump is nt keeping his word  what a shock  |  ANG
because there s no more rock solid committment than a handshake from donnie two scoops   ask anyone  |  ANG
no  the democrats will derail the daca deal  |  ANG
trump is a conman  he is a liar  vindictive and dishonest  |  ANG
this is typical trump  agree to something and then change the terms  it is pure arrogance and is inexcusable  most of his  business deals  went this way where when a project was done he stiffed the contractors and threatened to sue if they did nt agree to his new terms  checkout the book by david cay johnson  the making of donald trump  disclaimer  i have not read the book  but watched a book event on youtube  if you re interested in learning more about the dark side of donald trump  on youtube search for  donald trump david cay johnson   trump s mob connections and dirty business tricks are exposed  the author is a longtime newspaper reporter  |  ANG
repugs never do things straightthey always cheat |  ANG
what   trump walking back on things he said  say it ai nt so  |  ANG
we can take it back when this idiot is gone  |  ANG
you all knew that was coming  from the beginning |  ANG
surprise  surprise        again and again       |  ANG
geez  he looks like someone took away his lollipop  |  ANG
other side of the wall for all of them     hahhahahahahahhahaha  |  ANG
trump ca nt keep his word  on anything  |  ANG
trump will be a great president after the failed obama |  ANG
huh  |  ANG
failed how  what accomplishments has america s thirdrate deal maker made in his first term  |  ANG
how so  tell me  if trump was present after bush 43  what would you pray to  lol😃 |  ANG
thomas diaz isis in 33 countries including the us  only president in history with lowest gdp  obama has failed his nation and is a disgrace |  ANG
waiting for the winning  |  ANG
|  ANG
 lists of demands   we do nt deal with terrorists  |  ANG
he s a f   king moran and lier  |  ANG
fake news |  ANG
trump must go  any where  any way  just soon  |  ANG
452020 |  ANG
build the wall  |  ANG
you knew he would screw it up |  ANG
it s intended to  |  ANG
the  bait and switch  president  |  ANG
five months to go  good luck  |  ANG
anyone surprised by this prick   |  ANG
he is less than nothing  a revolting liar |  ANG
dem s bettet not sell their souls  |  ANG
no wall |  ANG
get him out  |  ANG
“beware of greeks bearing gifts” |  ANG
nope   dems will cave   like they always do |  ANG
typical vile trump  |  ANG
what did they expect  an honest deal  |  ANG
never believe a liar |  ANG
can not trust trump s word  |  ANG
stop playing with this sick pig |  ANG
holding children hostage classy  |  ANG
despicable little man  |  ANG
wwiii  |  ANG
never trust the liar trump |  ANG
the lier in chief strikes again  |  ANG
they are criminals  get them out    maga |  ANG
here is a part of history many did nt learn and for reasons to deny you do nt want to be educated about this  but here goes   now you ca nt ever say  you did nt know  right  mfacebookcomstoryphp  storyfbid1415057008547412  id100001293796107 |  ANG
do not get in bed with the devil |  ANG
never believed it anyway |  ANG
this man is despicable |  ANG
train wreck   |  ANG
backsliding  |  ANG
dream on dreamers   |  ANG
trump is a heartless imbarrisment tothis country |  ANG
impeach trump |  ANG
    |  ANG
do nt believe a liar🏳️ |  ANG
the commies want the illegals here so they can get them to vote commie  time to kick them all out of the country  the commies that is  the no rights that are nt allowed  group has long been part of the problem  their leadership and most members are still in deep denial of the realities of this war  another marker in a long slow escalation of our civil war  until they tell us to turn them in   time to put on the big boy pants  why the commie globalists want us disarmed   attempting reason with communists and many conservatives  is akin to slitting one s wrists and jumping into shark infested waters  we must make amerika free  sign this   petitionswhitehousegovpetitiondeclaregeorgesorosterroristandseizeallhisrelatedorganizationsassetsunderricoandndaalaw  the whole secret lies in confusing the enemy  so that he can not fathom our real intent    sun tzu hence to fight and conquer in all your battles is not supreme excellence  supreme excellence consists in breaking the enemy’s resistance without fighting   sun tzu as for our current situation there is only one fix for it  if it can be fixed  but western socalled men have been debackboned and denutted and shrink from the idea of shedding blood when the tree of liberty cries out for it in such a plaintive and alarming way  the patriot newbie guidebook   welcome to a nation of morons   what does we the people  actually mean  it means we are responsible  we have a representative republic  guaranteed to every state  not a democracy  we have a bill of rights that acknowledges rights we are born with  not granted or created by any government  we vote with the knowledge that voting is the most violent act anyone can participate in because voting is electing someone to hire someone to stick a government gun in our neighbors  faces and force our version of reality on them at the threat of their very lives  we stand ready to protect our liberty and the liberty of our neighbors  not destroy it  via any version of authoritarianism  of any age or place  we are prepared with knowledge and force of arms to make war against and kill if necessary those who would destroy our bill of rights whether they represent domestic or foreign enemies  we do not lie to ourselves  our families  our friends  our business associates  our descendants  our enemies  about these things and do not ever tolerate those who would have us do so  if the troops were fighting for our freedom they d all be here  the only real reason for the militia   what is a man  really   a new birth of liberty  or death   |  ANG
shame  shame  shame  shame  shame  shame  |  ANG
liar |  ANG
🤡🤡🤡🤡🤡 |  ANG
sam maynard |  ANG
p i g  |  ANG
uncertain  try doa  |  ANG
